relative_path,name,fileId,mimeType,shareUrl,downloadUrl,exportUrl
g10/first semester/Arabic g10/first semester/البلاغة/التعبير الحقيقي والتعبير المجازي.doc,التعبير الحقيقي والتعبير المجازي.doc,1_L0XPygn-uETNE4nj7rg48O9Y7sNfeZE,application/msword,https://docs.google.com/document/d/1_L0XPygn-uETNE4nj7rg48O9Y7sNfeZE/edit?usp=drivesdk&ouid=101563598129890605704&rtpof=true&sd=true,https://drive.google.com/uc?export=download&id=1_L0XPygn-uETNE4nj7rg48O9Y7sNfeZE,https://drive.google.com/uc?export=download&id=1_L0XPygn-uETNE4nj7rg48O9Y7sNfeZE
g10/first semester/Arabic g10/first semester/القصة/الفصل الثالث الطريق إلى الحقيقة.doc,الفصل الثالث الطريق إلى الحقيقة.doc,1HCDDziCjYzszo-yNIeeI1oyXrYc0BO-2,application/msword,https://docs.google.com/document/d/1HCDDziCjYzszo-yNIeeI1oyXrYc0BO-2/edit?usp=drivesdk&ouid=101563598129890605704&rtpof=true&sd=true,https://drive.google.com/uc?export=download&id=1HCDDziCjYzszo-yNIeeI1oyXrYc0BO-2,https://drive.google.com/uc?export=download&id=1HCDDziCjYzszo-yNIeeI1oyXrYc0BO-2
g10/first semester/Arabic g10/first semester/القصة/الفصل الثاني الطل الثائر.doc,الفصل الثاني الطل الثائر.doc,1JBaGCWGRQISX3Plne1hDYVaBarY84iDn,application/msword,https://docs.google.com/document/d/1JBaGCWGRQISX3Plne1hDYVaBarY84iDn/edit?usp=drivesdk&ouid=101563598129890605704&rtpof=true&sd=true,https://drive.google.com/uc?export=download&id=1JBaGCWGRQISX3Plne1hDYVaBarY84iDn,https://drive.google.com/uc?export=download&id=1JBaGCWGRQISX3Plne1hDYVaBarY84iDn
g10/first semester/Arabic g10/first semester/القصة/الفصـل الثامن  علاقة قلقة.doc,الفصـل الثامن  علاقة قلقة.doc,1Kb-Z_X9zRP7pfzdRj14XvhmUuUEOzR3c,application/msword,https://docs.google.com/document/d/1Kb-Z_X9zRP7pfzdRj14XvhmUuUEOzR3c/edit?usp=drivesdk&ouid=101563598129890605704&rtpof=true&sd=true,https://drive.google.com/uc?export=download&id=1Kb-Z_X9zRP7pfzdRj14XvhmUuUEOzR3c,https://drive.google.com/uc?export=download&id=1Kb-Z_X9zRP7pfzdRj14XvhmUuUEOzR3c
g10/first semester/Arabic g10/first semester/القصة/الفصل الخامس خطبة عبلة.doc,الفصل الخامس خطبة عبلة.doc,1LBAsP-ZpBKk4aW7jsieCTZq51xN1yxam,application/msword,https://docs.google.com/document/d/1LBAsP-ZpBKk4aW7jsieCTZq51xN1yxam/edit?usp=drivesdk&ouid=101563598129890605704&rtpof=true&sd=true,https://drive.google.com/uc?export=download&id=1LBAsP-ZpBKk4aW7jsieCTZq51xN1yxam,https://drive.google.com/uc?export=download&id=1LBAsP-ZpBKk4aW7jsieCTZq51xN1yxam
g10/first semester/Arabic g10/first semester/القصة/الفصل الرابع حوار ساخن.doc,الفصل الرابع حوار ساخن.doc,1MrXghipnsyd-msKHEl57AV70GIjpBDaL,application/msword,https://docs.google.com/document/d/1MrXghipnsyd-msKHEl57AV70GIjpBDaL/edit?usp=drivesdk&ouid=101563598129890605704&rtpof=true&sd=true,https://drive.google.com/uc?export=download&id=1MrXghipnsyd-msKHEl57AV70GIjpBDaL,https://drive.google.com/uc?export=download&id=1MrXghipnsyd-msKHEl57AV70GIjpBDaL
g10/first semester/Arabic g10/first semester/القصة/الفصل السادس البطل الحر.doc,الفصل السادس البطل الحر.doc,1cICvQF2zqbVB5PUeZKojQi9zsmpKBFcg,application/msword,https://docs.google.com/document/d/1cICvQF2zqbVB5PUeZKojQi9zsmpKBFcg/edit?usp=drivesdk&ouid=101563598129890605704&rtpof=true&sd=true,https://drive.google.com/uc?export=download&id=1cICvQF2zqbVB5PUeZKojQi9zsmpKBFcg,https://drive.google.com/uc?export=download&id=1cICvQF2zqbVB5PUeZKojQi9zsmpKBFcg
g10/first semester/Arabic g10/first semester/القصة/الفصل الأول مغني القافلة.doc,الفصل الأول مغني القافلة.doc,1lqfyPfXqQovciqwlj9LpsdtHROuTNTGy,application/msword,https://docs.google.com/document/d/1lqfyPfXqQovciqwlj9LpsdtHROuTNTGy/edit?usp=drivesdk&ouid=101563598129890605704&rtpof=true&sd=true,https://drive.google.com/uc?export=download&id=1lqfyPfXqQovciqwlj9LpsdtHROuTNTGy,https://drive.google.com/uc?export=download&id=1lqfyPfXqQovciqwlj9LpsdtHROuTNTGy
g10/first semester/Arabic g10/first semester/القصة/الفصل السابع انتصار.doc,الفصل السابع انتصار.doc,1wqazkODUczfMIFRLXT_Gk4_kUyXxX9ZE,application/msword,https://docs.google.com/document/d/1wqazkODUczfMIFRLXT_Gk4_kUyXxX9ZE/edit?usp=drivesdk&ouid=101563598129890605704&rtpof=true&sd=true,https://drive.google.com/uc?export=download&id=1wqazkODUczfMIFRLXT_Gk4_kUyXxX9ZE,https://drive.google.com/uc?export=download&id=1wqazkODUczfMIFRLXT_Gk4_kUyXxX9ZE
g10/first semester/Arabic g10/first semester/القصة/أبو الفوارس عنترة.pdf,أبو الفوارس عنترة.pdf,1F2LbvysohN9qYk_MNnmSzc4wQjdil0SI,application/pdf,https://drive.google.com/file/d/1F2LbvysohN9qYk_MNnmSzc4wQjdil0SI/view?usp=drivesdk,https://drive.google.com/uc?export=download&id=1F2LbvysohN9qYk_MNnmSzc4wQjdil0SI,https://drive.google.com/uc?export=download&id=1F2LbvysohN9qYk_MNnmSzc4wQjdil0SI
